name,type,location_city,location_department,area_ha,price_per_ha,transaction_type,soil_type,water_source,altitude,image_url,polygon_data,is_listed,current_valuation,source_note
Predio Bello Horizonte,Agrícola,Montes,Colombia,1,0,Venta,"Mora, Tomate De Arbol",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Mora, Tomate De Arbol. Usuarios fuente: Usuario Numero 1, Usuario Numero 2. Secuencias: 1, 2."
Predio San Blas,Agrícola,Paramo,Colombia,1,0,Venta,"Arveja, Mora Uva",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Arveja, Mora Uva. Usuarios fuente: Usuario Numero 3, Usuario Numero 4. Secuencias: 3, 4."
Predio La Planada,Agrícola,Paramo,Colombia,1,0,Venta,"Lulo, Tomate De Arbol",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Lulo, Tomate De Arbol. Usuarios fuente: Usuario Numero 5, Usuario Numero 8. Secuencias: 5, 8."
Predio La Esperanza,Agrícola,Paramo,Colombia,1,0,Venta,"Hortalizas, Mora Castilla, Mora Uva, Papa, Tomate De Arbol",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Hortalizas, Mora Castilla, Mora Uva, Papa, Tomate De Arbol. Usuarios fuente: Usuario Numero 25, Usuario Numero 27, Usuario Numero 29, Usuario Numero 42, Usuario Numero 43.... Secuencias: 6, 7, 25, 27, 29, 42, 43, 46, 47."
Predio Ojo De Agua,Agrícola,Paramo,Colombia,1,0,Venta,"Mora Uva, Tomate De Arbol",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Mora Uva, Tomate De Arbol. Usuarios fuente: Usuario Numero 20, Usuario Numero 9. Secuencias: 9, 20."
Predio El Pino,Agrícola,Paramo,Colombia,1,0,Venta,Tomate De Arbol,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Tomate De Arbol. Usuarios fuente: Usuario Numero 10. Secuencias: 10.
Predio Santa Barbara,Agrícola,Paramo,Colombia,1,0,Venta,Mora De Castilla,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora De Castilla. Usuarios fuente: Usuario Numero 11. Secuencias: 11.
Predio San Antonio,Agrícola,Paramo,Colombia,1,0,Venta,Tomate De Arbol,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Tomate De Arbol. Usuarios fuente: Usuario Numero 12. Secuencias: 12.
Predio El Horno,Agrícola,Paramo,Colombia,1,0,Venta,Papa,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Papa. Usuarios fuente: Usuario Numero 13. Secuencias: 13.
Predio El Amarillo,Agrícola,Paramo,Colombia,1,0,Venta,Mora Uva,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora Uva. Usuarios fuente: Usuario Numero 14. Secuencias: 14.
